mkinitcpio-nfs-utils 0.3-4
mobile-broadband-provider-info 20120614-2
modemmanager 1.2.0-2
mpfr 3.1.2.p5-1
mtdev 1.1.4-1
nano 2.2.6-2
nbd 3.7-1
ncurses 5.9-6
ndiswrapper-utils 1.59-1
netctl 1.4-2
netkit-bsd-finger 0.17-8
nettle 2.7.1-1
network-manager-applet 0.9.8.8-1
networkmanager 0.9.8.8-1
networkmanager-dispatcher-ntpd 1.0-6
networkmanager-openconnect 0.9.8.4-1
networkmanager-openvpn 0.9.8.4-1
networkmanager-pptp 0.9.8.4-1
networkmanager-vpnc 0.9.8.6-1
nfs-utils 1.2.9-5
nfsidmap 0.25-2
nilfs-utils 2.1.6-1
nitrogen 1.5.2-1
nspr 4.10.3-1
nss 3.15.4-1
ntfs-3g 2013.1.13-4
ntp 4.2.6.p5-18
numix-manjaro-themes 20131116-2
obconf 2.0.4-1
oblogout 0.2-15
obmenu-generator 0.54-1
openbox 3.5.2-6
openbox-themes 1.0.2-2
openconnect 1:5.01-1
openresolv 3.5.6-1
openssh 6.5p1-2
openssl 1.0.1.f-1
openvpn 2.3.2-2
orbit2 2.14.19-2
orc 0.4.18-1
os-prober 1.63-1
p11-kit 0.20.2-1
p7zip 9.20.1-9
pacman 4.1.2-5
pacman-mirrorlist 20140212-1
pam 1.1.8-3
pam_encfs 0.1.4.4-2
pambase 20130928-1
pango 1.36.2-1
pangomm 2.34.0-1
parcellite 1.1.7-2
parted 3.1-3
pciutils 3.2.1-1
pcmciautils 018-7
pcre 8.34-2
perl 5.18.2-2
perl-data-dump 1.22-1
perl-linux-desktopfiles 0.06-1
perl-xml-parser 2.41-4
perl-xml-simple 2.20-1
pinentry 0.8.3-1
pixman 0.32.4-1
pkg-config 0.28-1
pnmixer 0.5.1-2
polkit 0.112-1
popt 1.16-7
ppp 2.4.5-8
pptpclient 1.7.2-5
prebootloader 20130206-2
printproto 1.0.5-2
procps-ng 3.3.9-2
progsreiserfs 0.3.0.5-8
psmisc 22.20-1
pth 2.0.7-5
pv 1.5.1-1
py3parted 0.1-1
pygobject-devel 3.10.2-1
pygobject2-devel 2.28.6-9
pygtk 2.24.0-3
pyqt4-common 4.10.3-1
python 3.3.4-1
python-cairo 1.10.0-3
python-configobj 20130328-1
python-dbus 1.2.0-2
python-dbus-common 1.2.0-2
python-gobject 3.10.2-1
python-simplejson 3.3.2-1
python2 2.7.6-2
python2-beaker 1.6.4-1
python2-cairo 1.10.0-1
python2-dbus 1.2.0-2
python2-distutils-extra 2.38-1
python2-gobject 3.10.2-1
python2-gobject2 2.28.6-9
python2-mako 0.9.1-1
python2-markupsafe 0.18-2
python2-netifaces 0.8-2
python2-pexpect 3.1-1
python2-pillow 2.3.0-3
python2-pyqt4 4.10.3-1
python2-sip 4.15.4-1
python2-xdg 0.25-1
